File Name,Collection Name#1,Collection Description#1,Work Type#1,Work Type Vocab#1,Work Type Refid#1,Work Type#2,Work Type Vocab#2,Work Type Refid#2,Work Title#1,Work Title Type#1,Work Title#2,Work Title Type#2,Work Title#3,Work Title Type#3,Work Agent Name#1,Work Agent Name Type#1,Work Agent Role#1$2,Work Agent Role#1$1,Work Agent Role#1,Work Agent Role Vocab#1,Work Agent Role Refid#1,Work Agent Role Refid#1$2,Work Agent Role Refid#1$1,Work Agent Name#2,Work Agent Name Vocab#2,Work Agent Name Refid#2,Work Agent Name Type#2,Work Agent Role#2,Work Agent Role Vocab#2,Work Agent Role Refid#2,Work Agent Name#3,Work Agent Name Vocab#3,Work Agent Name Refid#3,Work Agent Name Type#3,Work Agent Role#3,Work Agent Role Vocab#3,Work Agent Role Refid#3,Work Agent Name#4,Work Agent Name Vocab#4,Work Agent Name Refid#4,Work Agent Name Type#4,Work Agent Role Vocab#4,Work Agent Role Refid#4,Work Date#1,Work Date Type#1,Subject Term 1#1,Subject Type 1#1,Subject Vocab 1#1,Subject Term 2#1,Subject Type 2#1,Subject Vocab 2#1,Subject Refid 2#1,Subject Term 3#1,Subject Type 3#1,Subject Vocab 3#1,Subject Term 1#2,Subject Type 1#2,Subject Vocab 1#2,Subject Term 2#2,Subject Type 2#2,Subject Vocab 2#2,Subject Refid 2#2,Subject Term 3#2,Subject Type 3#2,Subject Vocab 3#2,Subject Refid 3#2,Location Name#1,Location Type#1,Location Refid#1,Location Name#2,Location Type#2,Location Refid#2,Location Name#3,Location Type#3,Location Refid#3,Location Name#4,Location Type#4,Location Refid#4,Location Name#5,Location Type#5,Location Refid#5,Location Name#6,Location Type#6,Location Refid#6,Location Name#7,Location Type#7,Location Refid#7,Repository Location Name#1,Repository Location Type#1,Repository Location Refid#1,Material#1,Material Type#1,Material Vocab#1,Material Refid#1,Technique#1,Technique Vocab#1,Technique Refid#1,Technique#2,Technique Vocab#2,Technique Refid#2,Technique#3,Technique Vocab#3,Technique Refid#3,Inscription Text#1,Inscription Text Type#1,Inscription Text#2,Inscription Text Type#2,Inscription Text#3,Inscription Text Type#3,Work Description#1,Relation#1,Relation Type#1,Relation Relids#1,Relation Type#2,Relation Relids#2,Image Rights#1,Image Title#1,Image Title Type#1,Image Title#2,Image Title Type#2,Image Measurements#1,Image Measurements Type#1,Image Measurements Unit#1,Image Agent Name#1,Image Agent Type#1,Image Agent Role#1,Image Date#1,Image Date Type#1,Image Work Type#1,Image Work Type Vocab#1,Image Work Type Refid#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
lav1.pdf,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,"Album of Lavender's climbs and trips in the Colorado Rockies, summer of 1931.",cited,"""Blue"" Album 1",descriptive,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,Colorado (state),geographic,7007158,Rocky Mountains (mountains),geographic,7014356,,,,,,,,,,,,,,,,UC Boulder Special Collections Department,repository,SPCMS239 Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,hand coloring,aat,300133555,photograph albums,aat,300026695,,,,,,,,,relatedTo,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,"Album of Lavender's climbs and trips in the Colorado Rockies, summer of 1931.",generalView,,,,,,"Mulcrone, Patrick",personal,scanning technician,5/2/2013,other,digital image,aat,300215302,526142,,http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-70-NA/1669/0001.jpg
LAV10012a.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,"Wilsons from Dolores Peak, 1",cited,,,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,Wilson Peak (peak),geographic,2775937,,,,,,,,,,,,,,,,,,,UC Boulder Special Collections Department,repository,Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,hand coloring,aat,300133555,,,,Wilsons from Dolores Pk.,caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,Wilsons from Dolores Peak,generalView,,,24322588,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510760,,LAV10012a.jpg
LAV10012b.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,"Wilsons from Dolores Peak, 2",cited,,,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,"Wilson, Mount (mountain)",geographic,1106993,Gladstone Peak (peak),geographic,2350920,Wilson Peak,geographic,2775937,El Diente Peak (peak),geographic,2312709,Dolores Peak (peak),geographic,2291755,,,,,,,UC Boulder Special Collections Department,repository,,photographic paper,support,aat,300014190,photography,aat,300054225,,,,,,,"Wilson Peak 14,026 Gladstone Peak 13,900 Mount Wilson & Diente 14,250-14,200 Second summit of Dolores 13,502",caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,generalView,,,26399396,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510776,,LAV10012b.jpg
LAV10015a.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,Southwest towards the Wilsons,cited,,,,,"Lavender, Dwight G.",personal,photographers,compilers,,aat,,300121766,300025687,,,,,,,,,,,,,,,,,,,,,8/12/1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,"Wilson, Mount (mountain)",geographic,1106993,Gladstone Peak (peak),geographic,2350920,Wilson Peak,geographic,2775937,El Diente Peak (peak),geographic,2312709,Wilson Massif,geographic,,,,,,,,UC Boulder Special Collections Department,repository,Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,,,,,,,,caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,Southwest towards the Wilsons,generalView,,,24715992,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510792,,LAV10015a.jpg
LAV10015b.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,To the Southwest,cited,,,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,8/12/1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,Wilson Peak (peak),geographic,2775937,"Wilson, Mount (mountain)",geographic,1106993,Gladstone Peak (peak),geographic,2350920,El Diente Peak (peak),geographic,2312709,WIlson Massif,geographic,,,,,,,,UC Boulder Special Collections Department,repository,Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,,,,,,,To the Southwest,caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,To the Southwest,generalView,,,24519772,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510808,,LAV10015b.jpg
LAV10016a.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,Towards the Ice Lake Peaks to the South,cited,,,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,South Lookout Pk. (peak),geographic,2680986,U.S. Grant (Ulysses S. Grant Peak),geographic,2738190,Fuller Pk. (peak),geographic,2342410,Vermilion Pk. (speak),geographic,2744256,Pilot Knob (peak),geographic,2581429,Grizzly Pk. (peak),geographic,2367066,San Miguel Pk. (peak),geographic,2640704,UC Boulder Special Collections Department,repository,Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,,,,,,,Towards the Ice Lake Peaks to the South,caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,Towards the Ice Lake Peaks to the South,generalView,,,34506288,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510824,,LAV10016a.jpg
LAV10016b.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,To the North from the Summit of Wasatch,cited,,,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,Wasatch Mountain (mountain),geographic,2752083,Dallas Pk. (peak),geographic,2274535,Mt. Sneffels (peak),geographic,2673367,Kismet,geographic,,Unnamed,,,Teakettle Mtn. (peak),geographic,2713558,Potosi Pk. (peak),geographic,2595814,UC Boulder Special Collections Department,repository,Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,,,,,,,To the North from the Summit of Wasatch,caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,To the North from the Summit of Wasatch,generalView,,,35191168,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510840,,LAV10016b.jpg
LAV10017a.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,Cutting the Summer's Fire Wood,cited,,,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,Lone Cone Peak,geographic,2465380,,,,,,,,,,,,,,,,,,,UC Boulder Special Collections Department,repository,Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,,,,,,,Cutting the summer's fire wood - (*symbol of a pitchfork or trident) ranch,caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,Cutting the Summer's Fire Wood,generalView,,,25012540,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510856,,LAV10017a.jpg
LAV10018a.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,Road to Beaver Park,cited,,,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,Beaver Park,,,,,,,,,,,,,,,,,,,,,UC Boulder Special Collections Department,repository,Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,,,,,,,Road to Beaver Park,caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,Road to Beaver Park,generalView,,,35191808,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510872,,LAV10018a.jpg
LAV10018b.tif,Dwight Garrigues Lavender Collection,"The Dwight Garrigues Lavender Collection includes 3 photograph albums from Dwight Lavender from the summers of 1929, 1930, and 1931, including Colorado mountains, first ascents, and new routes. The 3 albums contain about 465 photos, some hand-tinted, with annotations and notes by Dwight Lavender and David Lavender.",photographs,aat,300046300,,,,Aspens,cited,,,,,"Lavender, Dwight G.",personal,,,compilers,aat,300121766,,,,,,,,,,,,,,,,,,,,,,,1931,view,Mountaineering--Colorado,descriptiveTopic,lcsh,Mountains--Colorado,descriptiveTopic,lcsh,sh 85087858,Mountaineers--Colorado,descriptiveTopic,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC Boulder Special Collections Department,repository,Album 1,photographic paper,support,aat,300014190,photography,aat,300054225,,,,,,,Aspens,caption,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,Aspens,generalView,,,24885396,fileSize,bytes,"Guinn-Chipman, Susan",personal,scanning technician,6/2/2005,other,digital image,aat,300215302,510888,,LAV10018b.jpg
